16	2.022
20	0.63
22	0.648
24	0.518
26	0.529
28	0.497
30	0.542
32	0.544
34	0.544
36	0.634
38	0.53
40	0.505
44	0.582
48	0.525
52	0.519
56	0.536
60	0.626
66	0.548
72	0.539
78	0.516
84	0.605
92	0.532
100	0.566
110	0.578
120	0.53
132	0.534
144	0.545
158	0.62
172	0.616
188	0.545
206	0.712
226	0.541
248	0.549
272	0.543
298	0.491
326	0.524
358	0.484
392	0.683
430	0.54
472	0.514
518	0.514
568	0.566
624	0.516
686	0.509
754	0.519
828	0.609
910	0.524
1000	0.508
1100	0.622
1210	0.588
1330	0.501
1462	0.514
1608	0.573
1768	0.552
1944	0.513
2138	0.526
2350	0.649
2584	0.532
2842	0.499
3126	0.512
3438	0.567
3780	0.786
4158	0.613
4572	0.646
5028	0.806
5530	0.638
6082	0.565
6690	0.543
7358	0.646
8092	0.609
8900	0.598
9790	0.639
10768	0.567
11844	0.558
13028	0.696
14330	0.851
15762	0.899
17338	0.919
19070	0.931
20976	0.854
23072	0.788
25378	0.793
27914	0.869
30704	1.003
33774	1.146
37150	1.228
40864	1.362
44950	1.196
49444	1.316
54388	1.283
59826	1.392
65808	1.499
72388	1.727
79626	1.999
87588	2.039
96346	2.088
105980	2.184
116578	2.445
128234	2.611
141056	2.927
155160	3.096
170676	3.408
187742	3.645
206516	4.28
227166	4.318
249882	4.725
274870	5.412
302356	5.789
332590	6.367
365848	7.378
402432	7.741
442674	8.467
486940	9.309
535634	10.497
589196	11.071
648114	11.911
712924	13.743
784216	14.884
862636	16.362
948898	18.551
1043786	20.133
1148164	21.732
1262980	23.582
1389278	27.161
1528204	29.985
1681024	33.102
1849126	40.068
2034038	39.889
2237440	44.295
2461184	49.477
2707302	56.019
2978032	61.724
3275834	69.153
3603416	75.015
3963756	81.182
4360130	88.812
4796142	97.482
5275756	108.526
5803330	118.451
6383662	130.687
7022028	144.265
7724230	157.994
8496652	176.077
9346316	192.507
