16	0.809856	1.00029
20	0.758208	0.808384
22	0.75152	0.794688
24	0.75648	0.792928
26	0.747008	0.78368
28	0.747616	0.784192
30	0.755072	0.791296
32	0.745184	0.781536
34	0.750976	0.79392
36	0.744352	0.780736
38	0.744992	0.781088
40	0.76288	0.799264
44	0.742688	0.778944
48	0.747008	0.783072
52	0.741504	0.777536
56	0.738688	0.775456
60	0.746048	0.782688
66	0.740832	0.781408
72	0.745376	0.781728
78	0.747808	0.783904
84	1.4431	1.47949
92	0.737088	0.77344
100	0.742656	0.779072
110	0.740608	0.776352
120	0.73568	0.772128
132	0.735584	0.99984
144	0.744512	0.780864
158	0.7424	0.778976
172	0.743488	0.78048
188	0.774208	0.811136
206	0.744928	0.781632
226	0.74464	0.782304
248	0.751456	0.789504
272	0.753472	0.797088
298	0.763776	0.801728
326	0.755616	0.794304
358	0.75632	0.795008
392	0.767552	0.802912
430	0.769504	0.808384
472	0.763584	0.803456
518	1.03072	1.30477
568	1.58182	1.62234
624	1.04819	1.08944
686	1.05018	1.09206
754	1.4905	1.53494
828	1.26141	1.31741
910	1.1455	1.19139
1000	1.1225	1.16835
1100	1.05456	1.10803
1210	1.06003	1.10826
1330	1.07318	1.12109
1462	1.0839	1.13338
1608	1.04973	1.09907
1768	1.06906	1.1192
1944	1.08666	1.14205
2138	1.04042	1.32755
2350	1.0704	1.12384
2584	1.04598	1.10166
2842	1.07581	1.13386
3126	1.05254	1.11366
3438	1.07178	1.13379
3780	1.05891	1.12301
4158	1.67485	1.74867
4572	1.08195	1.15174
5028	1.08925	1.16336
5530	1.08538	1.196
6082	1.08307	1.16387
6690	1.06013	1.1481
7358	1.0681	1.16208
8092	1.08934	1.18726
8900	1.06339	1.41194
9790	1.05821	1.16547
10768	1.05786	1.16938
11844	1.05795	1.17952
13028	1.07021	1.20083
14330	1.10349	1.24358
15762	1.12118	1.27056
17338	1.13318	1.2984
19070	1.1047	1.27856
20976	1.13197	1.31283
23072	1.10106	1.30224
25378	1.12666	1.3416
27914	1.15478	1.38922
30704	1.6593	1.91194
33774	1.1816	1.69504
37150	1.19603	1.5001
40864	1.22637	1.54938
44950	1.21555	1.56557
49444	1.25053	1.6257
54388	1.2713	1.67974
59826	1.30627	1.7529
65808	1.62429	2.35139
72388	1.64602	2.17171
79626	1.66688	2.2457
87588	1.72016	2.34442
96346	1.75667	2.47158
105980	1.84349	2.61907
116578	1.91968	2.77059
128234	1.98157	2.90275
141056	2.05773	3.15242
155160	2.13139	3.22541
170676	2.25082	3.36973
187742	2.41821	3.59904
206516	2.50554	3.756
227166	2.63798	3.95184
249882	2.68947	4.12499
274870	2.84285	4.52973
302356	2.92739	4.63882
332590	3.02003	4.85053
365848	3.19946	5.15152
402432	3.13123	5.27853
442674	3.46205	5.81533
486940	3.56054	6.08074
535634	3.81846	6.67328
589196	3.99971	7.0201
648114	4.26339	7.49629
712924	4.58118	8.15261
784216	4.71706	8.55347
862636	5.05558	9.29539
948898	5.36346	9.92864
1043786	5.76765	10.7965
1148164	6.2801	11.8331
1262980	6.57786	12.5779
1389278	7.28317	13.8511
1528204	7.66726	14.8299
1681024	8.1056	18.2649
1849126	8.83437	17.5603
2034038	9.6231	19.1759
2237440	10.2347	21.1407
2461184	11.1656	22.8182
2707302	12.1826	25.0587
2978032	13.1977	31.4747
3275834	14.3268	29.9556
3603416	15.4553	35.1131
3963756	16.8432	35.8464
4360130	18.4093	40.1518
4796142	20.0508	43.2822
5275756	21.9853	48.3231
5803330	23.854	52.1158
6383662	26.1648	57.348
7022028	28.6188	62.9973
7724230	30.8809	68.7704
8496652	34.0595	77.0061
9346316	36.9444	82.7836
