16	0.158
20	0.037
22	0.022
24	0.052
26	0.07
28	0.032
30	0.054
32	0.032
34	0.021
36	0.021
38	0.021
40	0.022
44	0.022
48	0.022
52	0.022
56	0.021
60	0.022
66	0.022
72	0.022
78	0.052
84	0.051
92	0.023
100	0.023
110	0.024
120	0.057
132	0.024
144	0.025
158	0.025
172	0.072
188	0.074
206	0.048
226	0.059
248	0.029
272	0.03
298	0.075
326	0.09
358	0.072
392	0.087
430	0.091
472	0.098
518	0.092
568	0.083
624	0.083
686	0.084
754	0.088
828	0.091
910	0.098
1000	0.101
1100	0.105
1210	0.113
1330	0.118
1462	0.128
1608	0.148
1768	0.143
1944	0.156
2138	0.167
2350	0.198
2584	0.194
2842	0.212
3126	0.226
3438	0.247
3780	0.265
4158	0.332
4572	0.332
5028	0.403
5530	0.433
6082	0.459
6690	0.473
7358	0.579
8092	0.561
8900	0.685
9790	0.662
10768	0.726
11844	0.812
13028	0.913
14330	0.989
15762	1.079
17338	1.208
19070	1.331
20976	1.463
23072	1.655
25378	1.793
27914	2.053
30704	2.307
33774	2.468
37150	2.745
40864	3.033
44950	3.396
49444	3.762
54388	4.126
59826	4.513
65808	4.992
72388	5.561
79626	6.168
87588	6.786
96346	7.548
105980	8.215
116578	9.263
128234	9.984
141056	11.24
155160	12.417
170676	13.671
187742	15.371
206516	16.844
227166	18.751
249882	20.797
274870	23.024
302356	25.246
332590	27.998
365848	30.886
402432	34.484
442674	37.968
486940	42.014
535634	46.196
589196	51.683
648114	56.988
712924	62.696
784216	70.17
862636	77.837
948898	86.18
1043786	95.128
1148164	105.153
1262980	116.772
1389278	127.547
1528204	142.059
1681024	155.844
1849126	175.036
2034038	192.708
2237440	215.882
2461184	236.014
2707302	262.832
2978032	290.544
3275834	324.372
3603416	358.983
3963756	396.408
4360130	434.641
4796142	482.772
5275756	533.283
5803330	592.351
6383662	653.404
7022028	725.093
7724230	802.906
8496652	895.299
9346316	989.633
