16	0.16
20	0.072
22	0.055
24	0.029
26	0.023
28	0.021
30	0.021
32	0.021
34	0.021
36	0.021
38	0.02
40	0.024
44	0.024
48	0.051
52	0.058
56	0.022
60	0.021
66	0.022
72	0.023
78	0.022
84	0.022
92	0.022
100	0.023
110	0.023
120	0.024
132	0.059
144	0.039
158	0.025
172	0.052
188	0.039
206	0.075
226	0.041
248	0.073
272	0.03
298	0.077
326	0.084
358	0.045
392	0.096
430	0.096
472	0.075
518	0.114
568	0.098
624	0.103
686	0.083
754	0.085
828	0.091
910	0.095
1000	0.124
1100	0.109
1210	0.116
1330	0.117
1462	0.127
1608	0.151
1768	0.141
1944	0.198
2138	0.164
2350	0.175
2584	0.19
2842	0.208
3126	0.226
3438	0.244
3780	0.268
4158	0.29
4572	0.374
5028	0.384
5530	0.501
6082	0.448
6690	0.457
7358	0.553
8092	0.588
8900	0.657
9790	0.672
10768	0.774
11844	0.859
13028	0.986
14330	1.106
15762	1.135
17338	1.301
19070	1.392
20976	1.515
23072	1.668
25378	1.82
27914	2.011
30704	2.192
33774	2.455
37150	2.762
40864	3.033
44950	3.392
49444	3.734
54388	4.087
59826	4.558
65808	5.039
72388	5.482
79626	6.11
87588	6.746
96346	7.416
105980	8.305
116578	9.213
128234	10.16
141056	11.196
155160	12.518
170676	13.653
187742	15.321
206516	16.841
227166	18.561
249882	20.604
274870	22.893
302356	25.254
332590	28.36
365848	30.948
402432	34.241
442674	37.937
486940	41.941
535634	46.392
589196	51.431
648114	56.864
712924	62.479
784216	69.624
862636	77.227
948898	85.197
1043786	94.486
1148164	104.859
1262980	116.586
1389278	128.294
1528204	142.627
1681024	157.306
1849126	173.358
2034038	192.564
2237440	210.885
2461184	239.463
2707302	261.613
2978032	289.835
3275834	322.054
3603416	356.412
3963756	396.63
4360130	437.374
4796142	484.347
5275756	532.471
5803330	592.259
6383662	661.595
7022028	728.036
7724230	807
8496652	888.973
9346316	983.077
