16	0.168
20	0.074
22	0.054
24	0.029
26	0.022
28	0.02
30	0.049
32	0.055
34	0.032
36	0.021
38	0.021
40	0.021
44	0.021
48	0.022
52	0.022
56	0.023
60	0.021
66	0.023
72	0.022
78	0.022
84	0.024
92	0.023
100	0.024
110	0.023
120	0.024
132	0.065
144	0.064
158	0.043
172	0.071
188	0.099
206	0.085
226	0.041
248	0.06
272	0.047
298	0.068
326	0.065
358	0.054
392	0.089
430	0.098
472	0.085
518	0.08
568	0.082
624	0.082
686	0.085
754	0.088
828	0.094
910	0.096
1000	0.1
1100	0.104
1210	0.113
1330	0.118
1462	0.126
1608	0.13
1768	0.163
1944	0.156
2138	0.164
2350	0.179
2584	0.2
2842	0.21
3126	0.228
3438	0.253
3780	0.268
4158	0.285
4572	0.316
5028	0.341
5530	0.382
6082	0.408
6690	0.464
7358	0.493
8092	0.542
8900	0.659
9790	0.746
10768	0.723
11844	0.797
13028	0.892
14330	1.018
15762	1.08
17338	1.224
19070	1.345
20976	1.49
23072	1.71
25378	1.835
27914	1.967
30704	2.242
33774	2.38
37150	2.651
40864	2.996
44950	3.351
49444	3.686
54388	4.05
59826	4.523
65808	5.058
72388	5.529
79626	6.137
87588	6.78
96346	7.478
105980	8.373
116578	9.189
128234	10.122
141056	11.233
155160	12.358
170676	13.689
187742	15.185
206516	16.893
227166	18.675
249882	20.602
274870	22.892
302356	25
332590	27.877
365848	30.867
402432	34.357
442674	37.777
486940	41.899
535634	46.347
589196	50.783
648114	56.701
712924	63.557
784216	69.303
862636	77.362
948898	85.528
1043786	94.326
1148164	104.407
1262980	115.434
1389278	128.132
1528204	141.951
1681024	156.312
1849126	175.001
2034038	194.614
2237440	211.919
2461184	236.773
2707302	262.724
2978032	289.21
3275834	322.9
3603416	355.15
3963756	393.032
4360130	438.678
4796142	484.792
5275756	534.784
5803330	591.572
6383662	657.838
7022028	724.335
7724230	800.004
8496652	897.895
9346316	987.138
